dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
sd/2019/short,Moirai2,496.2210305575607,496.2210305575607,13.31849484691796,0.3254314433682516,0.08688732321472839,0.09013052045000707,2.301492946607696,22.27601918111853,0.10055825178526102,0.06012225736240495,0.047375363152263227,Transport,1
sd/2019/medium,Moirai2,658.3963827608785,658.3963827608785,15.356635275449031,0.37604729690113664,0.11495345524050062,0.11090073230585143,2.6233866000858836,25.659235817944356,0.12177935246709128,0.07288296164337198,0.05751734143235703,Transport,1
sd/2019/long,Moirai2,985.8382126754223,985.8382126754223,18.63817948069487,0.454837756456524,0.14349344920673915,0.1302287422676956,3.2474598511121022,31.398060651502384,0.14823508834361887,0.08799372077628076,0.069639968782477,Transport,1
