dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
gla/2019/short,naive,1275.5499606045412,1275.5499606045412,22.937970059451327,0.5558021294819216,0.10655119013866096,0.0958614159866313,4.614555610701786,35.714842301269385,0.10773306381120305,0.0691918998624979,0.05636884951590214,Transport,1
crash_sd/2019/short,naive,2134.2394798429586,2134.2394798429586,29.82325853542059,0.7298826019357609,0.14869823335186763,0.14663088367015353,6.179946928185793,46.19782981745959,0.16458040467734825,0.10624576907510257,0.08662386432203253,Transport,1
crash_sd/2019/medium,naive,4423.546028097811,4423.546028097811,42.45633019914207,1.0361828179249208,0.23630456819260828,0.22752747753039967,8.871669062869167,66.50974385830854,0.25096708617240204,0.16020421763090253,0.13001573138979206,Transport,1
crash_sd/2019/long,naive,10552.164485735988,10552.164485735988,67.4922207916555,1.6480353558453407,0.4151552676173482,0.3606470148227265,13.748575399466434,102.72372893219944,0.3913273649608057,0.25711248211388255,0.20672533376996624,Transport,1
